System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0dataIn,SKT0dataIn,SKT0dataIn (percent),SKT0dataIn (percent),SKT1dataIn,SKT1dataIn,SKT1dataIn (percent),SKT1dataIn (percent),SKT0trafficOut,SKT0trafficOut,SKT0trafficOut (percent),SKT0trafficOut (percent),SKT1trafficOut,SKT1trafficOut,SKT1trafficOut (percent),SKT1trafficOut (percent),SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,LOCAL,PMM_RD,PMM_WR,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,TotalUPIin,UPItoMC,TotalUPIout,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-03-19,13:54:38.232,0.01,0.76,0.01,0.99,0.01,0.09,0.84,0.69,0.0004,0.0028,0.01,0.01,-2147483648,0.00,0.00,31.80,41.99,218.63,0.76,18.93,0.01,0.23,6.80,0.29,15.53,1.21,98.79,0.00,100.00,0.00,0.00,0.00,0.00,-nan,0.08,0.01,0.72,0.01,1.00,0.01,0.04,0.80,0.60,0.0005,0.0026,     0,0,0,0.01,0.01,-2147483648,0.00,0.00,N/A,16.63,23.13,218.63,0.72,17.98,0.01,0.24,0.01,0.80,0.01,0.98,0.00,0.05,0.89,0.74,0.0003,0.0031,     0,0,0,0.00,0.00,-2147483648,0.00,0.00,N/A,15.17,18.86,218.63,0.80,20.11,0.01,0.22,0.33,0.30,  0%,  0%,1.64,4.53,  1%,  5%,1.67,1.66,  1%,  1%,5.20,7.00,  6%,  8%,1.32,98.68,0.00,100.00,0.00,0.00,1.10,98.90,0.00,100.00,0.00,0.00,0.00,0.00,0.00 ,0.00 ,-nan ,-nan ,0.08,0.08,0.01,0.32,0.02,1.00,0.00,0.03,0.92,0.27,0.0015,0.0182,     0,0,0,2.40,97.60,0.00,N/A,1.66,5.25,218.63,0.32,7.89,0.01,0.19,0.01,0.72,0.01,1.00,0.00,0.00,0.55,0.66,0.0009,0.0026,     0,0,0,0.87,99.13,0.00,N/A,1.37,1.90,218.63,0.72,17.97,0.01,0.16,0.00,0.59,0.00,1.00,0.00,0.00,0.11,0.73,0.0014,0.0017,     0,0,0,0.16,99.84,0.00,N/A,0.21,0.35,218.63,0.59,14.73,0.00,0.02,0.01,0.56,0.01,1.00,0.00,0.00,0.27,0.87,0.0003,0.0008,     0,0,0,1.26,98.74,0.00,N/A,1.50,2.67,218.63,0.56,14.08,0.01,0.18,0.03,1.07,0.03,1.00,0.00,0.00,0.36,0.83,0.0002,0.0004,     0,0,0,3.24,96.76,0.00,N/A,7.61,7.11,218.63,1.07,26.76,0.03,0.87,0.00,0.37,0.01,1.00,0.00,0.00,0.14,0.90,0.0005,0.0010,     0,0,0,0.67,99.33,0.00,N/A,0.54,1.47,218.63,0.37,9.14,0.00,0.06,0.01,0.91,0.01,1.00,0.00,0.00,0.30,0.82,0.0006,0.0011,     0,0,0,1.11,98.89,0.00,N/A,2.22,2.44,218.63,0.91,22.75,0.01,0.25,0.01,0.79,0.01,1.00,0.00,0.00,0.63,0.69,0.0003,0.0011,     0,0,0,0.89,99.11,0.00,N/A,1.54,1.95,218.63,0.79,19.71,0.01,0.17,0.01,0.30,0.03,0.94,0.00,0.04,0.95,0.28,0.0009,0.0197,     0,0,0,3.01,96.99,0.00,N/A,1.83,6.19,218.63,0.30,7.41,0.01,0.21,0.02,1.10,0.01,1.00,0.00,0.00,0.41,0.97,0.0001,0.0004,     0,0,0,1.50,98.50,0.00,N/A,3.60,3.28,218.63,1.10,27.45,0.02,0.41,0.02,0.94,0.02,1.00,0.00,0.00,0.58,0.88,0.0003,0.0012,     0,0,0,1.64,98.36,0.00,N/A,3.37,3.59,218.63,0.94,23.50,0.02,0.39,0.02,1.54,0.01,1.00,0.00,0.00,0.60,0.93,0.0001,0.0004,     0,0,0,1.24,98.76,0.00,N/A,4.21,2.73,218.63,1.54,38.58,0.02,0.48,0.00,0.95,0.00,0.99,0.00,0.00,0.44,0.81,0.0007,0.0016,     0,0,0,0.50,99.50,0.00,N/A,1.03,1.09,218.63,0.95,23.63,0.00,0.12,0.00,0.60,0.00,1.00,0.00,0.00,0.59,0.86,0.0003,0.0019,     0,0,0,0.17,99.83,0.00,N/A,0.23,0.38,218.63,0.60,15.11,0.00,0.03,0.00,0.61,0.01,1.00,0.00,0.00,0.45,0.89,0.0004,0.0017,     0,0,0,0.52,99.48,0.00,N/A,0.69,1.14,218.63,0.61,15.14,0.00,0.08,0.00,0.43,0.00,1.00,0.00,0.00,0.74,0.74,0.0004,0.0033,     0,0,0,0.21,99.79,0.00,N/A,0.20,0.47,218.63,0.43,10.81,0.00,0.02,
2024-03-19,13:54:38.339,0.02,1.06,0.02,1.00,0.01,0.09,0.83,0.62,0.0002,0.0012,0.04,0.03,-2147483648,0.00,0.00,80.48,75.71,210.43,1.06,26.58,0.02,0.59,1.50,0.02,29.75,2.24,97.76,0.00,100.00,0.00,0.00,0.00,0.00,-nan,0.08,0.03,1.11,0.03,1.00,0.01,0.05,0.82,0.52,0.0001,0.0009,     0,0,0,0.04,0.03,-2147483648,0.00,0.00,N/A,54.16,48.70,210.43,1.11,27.80,0.03,0.80,0.02,0.97,0.02,1.00,0.01,0.04,0.85,0.69,0.0002,0.0017,     0,0,0,0.00,0.00,-2147483648,0.00,0.00,N/A,26.32,27.00,210.43,0.97,24.37,0.02,0.39,0.68,0.54,  0%,  0%,0.18,0.12,  0%,  0%,7.58,7.44,  8%,  8%,7.34,7.39,  8%,  8%,2.89,97.11,0.00,100.00,0.00,0.00,1.59,98.41,0.00,100.00,0.00,0.00,0.00,0.00,0.00 ,0.00 ,-nan ,-nan ,0.08,0.08,0.02,0.48,0.03,1.00,0.00,0.03,0.93,0.24,0.0007,0.0101,     0,0,0,3.16,96.84,0.00,N/A,3.18,6.65,210.43,0.48,11.97,0.02,0.38,0.02,1.04,0.02,1.00,0.00,0.00,0.41,0.74,0.0001,0.0004,     0,0,0,1.98,98.02,0.00,N/A,4.32,4.17,210.43,1.04,25.91,0.02,0.51,0.04,1.26,0.03,1.00,0.00,0.00,0.61,0.65,0.0001,0.0003,     0,0,0,2.96,97.04,0.00,N/A,7.85,6.24,210.43,1.26,31.42,0.04,0.93,0.02,1.02,0.02,1.00,0.00,0.00,0.60,0.75,0.0001,0.0005,     0,0,0,1.99,98.01,0.00,N/A,4.30,4.20,210.43,1.02,25.60,0.02,0.51,0.07,1.64,0.04,1.00,0.00,0.00,0.44,0.56,0.0000,0.0001,     0,0,0,4.13,95.87,0.00,N/A,14.23,8.68,210.43,1.64,40.99,0.07,1.69,0.03,1.02,0.03,1.00,0.00,0.00,0.59,0.75,0.0001,0.0005,     0,0,0,3.00,97.00,0.00,N/A,6.46,6.32,210.43,1.02,25.54,0.03,0.77,0.03,0.96,0.03,1.00,0.00,0.00,0.48,0.70,0.0003,0.0008,     0,0,0,2.96,97.04,0.00,N/A,5.96,6.23,210.43,0.96,23.90,0.03,0.71,0.04,1.27,0.03,1.00,0.00,0.00,0.62,0.73,0.0001,0.0003,     0,0,0,2.93,97.07,0.00,N/A,7.86,6.22,210.43,1.27,31.63,0.04,0.93,0.01,0.31,0.02,1.00,0.00,0.03,0.95,0.27,0.0009,0.0191,     0,0,0,2.37,97.63,0.00,N/A,1.57,4.99,210.43,0.31,7.87,0.01,0.19,0.01,0.64,0.01,1.00,0.00,0.00,0.34,0.84,0.0006,0.0021,     0,0,0,1.30,98.70,0.00,N/A,1.75,2.75,210.43,0.64,15.92,0.01,0.21,0.00,0.59,0.01,1.00,0.00,0.00,0.78,0.91,0.0000,0.0013,     0,0,0,0.76,99.24,0.00,N/A,0.93,1.60,210.43,0.59,14.63,0.00,0.11,0.01,1.47,0.01,1.00,0.00,0.00,0.51,0.91,0.0002,0.0005,     0,0,0,0.78,99.22,0.00,N/A,2.42,1.64,210.43,1.47,36.75,0.01,0.29,0.02,1.29,0.02,1.00,0.00,0.00,0.66,0.82,0.0001,0.0005,     0,0,0,1.64,98.36,0.00,N/A,4.43,3.44,210.43,1.29,32.21,0.02,0.53,0.03,1.19,0.02,1.00,0.00,0.00,0.34,0.88,0.0002,0.0004,     0,0,0,2.15,97.85,0.00,N/A,5.76,4.85,210.43,1.19,29.72,0.03,0.64,0.00,0.53,0.01,1.00,0.00,0.00,0.72,0.72,0.0007,0.0031,     0,0,0,0.71,99.29,0.00,N/A,0.79,1.50,210.43,0.53,13.13,0.00,0.09,0.04,1.39,0.03,1.00,0.00,0.00,0.16,0.89,0.0001,0.0001,     0,0,0,2.95,97.05,0.00,N/A,8.67,6.24,210.43,1.39,34.75,0.04,1.03,
2024-03-19,13:54:38.444,0.06,1.90,0.03,1.00,0.01,0.10,0.83,0.50,0.0001,0.0005,0.01,0.03,-2147483648,0.00,0.00,195.85,103.13,209.56,1.90,47.48,0.06,1.44,1.20,0.03,26.68,3.04,96.96,0.00,100.00,0.00,0.00,0.00,0.00,-nan,0.08,0.08,2.31,0.03,1.00,0.01,0.05,0.83,0.46,0.0000,0.0004,     0,0,0,0.00,0.01,-2147483648,0.00,0.00,N/A,133.45,57.88,209.56,2.31,57.64,0.08,1.94,0.04,1.38,0.03,1.00,0.01,0.05,0.83,0.54,0.0001,0.0007,     0,0,0,0.00,0.03,-2147483648,0.00,0.00,N/A,62.40,45.25,209.56,1.38,34.48,0.04,0.93,0.45,0.35,  0%,  0%,0.30,0.09,  0%,  0%,6.74,6.74,  7%,  7%,6.55,6.64,  7%,  7%,3.36,96.64,0.00,100.00,0.00,0.00,2.70,97.30,0.00,100.00,0.00,0.00,0.00,0.00,0.00 ,0.00 ,-nan ,-nan ,0.08,0.08,0.02,0.65,0.04,1.00,0.00,0.03,0.92,0.38,0.0005,0.0067,     0,0,0,3.66,96.34,0.00,N/A,4.98,7.68,209.56,0.65,16.22,0.02,0.59,0.09,2.61,0.04,1.00,0.00,0.00,0.46,0.28,0.0000,0.0002,     0,0,0,3.57,96.43,0.00,N/A,20.51,7.86,209.56,2.61,65.24,0.09,2.33,0.07,2.18,0.03,1.00,0.00,0.00,0.25,0.49,0.0001,0.0003,     0,0,0,3.34,96.66,0.00,N/A,15.96,7.33,209.56,2.18,54.42,0.07,1.82,0.12,2.95,0.04,1.00,0.00,0.00,0.73,0.60,0.0000,0.0000,     0,0,0,3.96,96.04,0.00,N/A,24.42,8.28,209.56,2.95,73.70,0.12,2.92,0.05,1.64,0.03,1.00,0.00,0.00,0.30,0.77,0.0001,0.0002,     0,0,0,3.35,96.65,0.00,N/A,11.84,7.22,209.56,1.64,40.98,0.05,1.37,0.09,2.86,0.03,1.00,0.00,0.00,0.52,0.65,0.0000,0.0000,     0,0,0,3.00,97.00,0.00,N/A,18.83,6.58,209.56,2.86,71.55,0.09,2.14,0.09,3.12,0.03,1.00,0.00,0.00,0.52,0.88,0.0000,0.0000,     0,0,0,2.94,97.06,0.00,N/A,20.15,6.46,209.56,3.12,77.96,0.09,2.29,0.08,2.59,0.03,1.00,0.00,0.00,0.24,0.50,0.0001,0.0003,     0,0,0,3.11,96.89,0.00,N/A,16.75,6.46,209.56,2.59,64.81,0.08,2.01,0.02,0.57,0.03,1.00,0.00,0.03,0.94,0.35,0.0005,0.0083,     0,0,0,3.12,96.88,0.00,N/A,3.72,6.53,209.56,0.57,14.25,0.02,0.44,0.02,1.02,0.02,1.00,0.00,0.00,0.57,0.68,0.0001,0.0005,     0,0,0,2.09,97.91,0.00,N/A,4.47,4.38,209.56,1.02,25.51,0.02,0.53,0.02,1.02,0.02,1.00,0.00,0.00,0.55,0.76,0.0001,0.0004,     0,0,0,2.10,97.90,0.00,N/A,4.47,4.39,209.56,1.02,25.47,0.02,0.53,0.10,2.95,0.03,1.00,0.00,0.00,0.47,0.72,0.0000,0.0001,     0,0,0,3.32,96.68,0.00,N/A,21.51,7.28,209.56,2.95,73.82,0.10,2.45,0.06,1.67,0.04,1.00,0.00,0.00,0.52,0.75,0.0000,0.0000,     0,0,0,3.76,96.24,0.00,N/A,13.16,7.87,209.56,1.67,41.79,0.06,1.57,0.03,1.06,0.02,1.00,0.00,0.00,0.55,0.79,0.0001,0.0004,     0,0,0,2.39,97.61,0.00,N/A,4.97,4.67,209.56,1.06,26.60,0.03,0.63,0.03,0.99,0.03,1.00,0.00,0.00,0.44,0.64,0.0004,0.0009,     0,0,0,2.70,97.30,0.00,N/A,5.66,5.73,209.56,0.99,24.70,0.03,0.67,0.02,1.01,0.02,1.00,0.00,0.00,0.53,0.70,0.0001,0.0005,     0,0,0,2.10,97.90,0.00,N/A,4.44,4.39,209.56,1.01,25.28,0.02,0.53,
