System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0dataIn,SKT0dataIn,SKT0dataIn (percent),SKT0dataIn (percent),SKT1dataIn,SKT1dataIn,SKT1dataIn (percent),SKT1dataIn (percent),SKT0trafficOut,SKT0trafficOut,SKT0trafficOut (percent),SKT0trafficOut (percent),SKT1trafficOut,SKT1trafficOut,SKT1trafficOut (percent),SKT1trafficOut (percent),SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core8 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core9 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core10 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core11 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core13 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core14 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),Core15 (Socket 1),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,LOCAL,PMM_RD,PMM_WR,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,TotalUPIin,UPItoMC,TotalUPIout,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,PMM_RD,PMM_WR,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,UPI0,UPI1,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,C0res%,C1res%,C6res%,C0res%,C2res%,C6res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C6res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-03-29,13:49:06.302,0.03,0.74,0.04,0.99,0.03,0.12,0.57,0.89,0.0003,0.0011,0.03,0.01,-2147483648,0.00,0.00,111.65,151.37,218.56,0.74,18.44,0.03,0.80,31.15,0.80,71.17,4.39,95.61,0.00,100.00,0.00,0.00,0.00,0.00,-nan,0.25,0.02,0.73,0.03,0.96,0.02,0.06,0.56,0.82,0.0005,0.0016,     0,0,0,0.03,0.00,-2147483648,0.00,0.00,N/A,37.31,51.34,218.56,0.73,18.16,0.02,0.53,0.04,0.74,0.06,1.00,0.02,0.06,0.59,0.92,0.0002,0.0008,     0,0,0,0.00,0.00,-2147483648,0.00,0.00,N/A,74.34,100.03,218.56,0.74,18.58,0.04,1.06,3.92,3.90,  1%,  1%,11.80,11.54,  4%,  4%,25.00,25.10,  8%,  8%,10.51,10.57,  3%,  3%,3.05,96.95,0.00,100.00,0.00,0.00,5.73,94.27,0.00,100.00,0.00,0.00,0.00,0.00,0.00 ,0.00 ,-nan ,-nan ,0.25,0.24,0.02,0.24,0.06,0.91,0.00,0.01,0.47,0.82,0.0014,0.0030,     0,0,0,7.05,92.95,0.00,N/A,3.36,14.01,218.56,0.24,6.00,0.02,0.38,0.01,0.78,0.01,0.98,0.00,0.00,0.67,0.67,0.0006,0.0027,     0,0,0,0.86,99.14,0.00,N/A,1.45,1.85,218.56,0.78,19.58,0.01,0.17,0.06,1.19,0.05,0.99,0.00,0.01,0.47,0.91,0.0003,0.0007,     0,0,0,4.88,95.12,0.00,N/A,12.77,10.70,218.56,1.19,29.84,0.06,1.44,0.01,0.54,0.02,0.99,0.00,0.01,0.62,0.69,0.0007,0.0025,     0,0,0,1.89,98.11,0.00,N/A,2.22,4.07,218.56,0.54,13.62,0.01,0.25,0.02,0.91,0.03,0.99,0.00,0.01,0.40,0.89,0.0005,0.0011,     0,0,0,2.55,97.45,0.00,N/A,5.03,5.51,218.56,0.91,22.84,0.02,0.58,0.02,0.79,0.03,0.98,0.00,0.01,0.64,0.69,0.0004,0.0019,     0,0,0,2.72,97.28,0.00,N/A,4.61,5.81,218.56,0.79,19.82,0.02,0.53,0.02,0.96,0.02,0.96,0.00,0.01,0.72,0.74,0.0003,0.0018,     0,0,0,2.54,97.46,0.00,N/A,5.15,5.34,218.56,0.96,24.10,0.02,0.59,0.01,0.67,0.02,0.98,0.00,0.01,0.61,0.75,0.0007,0.0026,     0,0,0,1.90,98.10,0.00,N/A,2.72,4.06,218.56,0.67,16.75,0.01,0.31,0.03,0.34,0.08,1.00,0.01,0.02,0.60,0.79,0.0010,0.0029,     0,0,0,7.83,92.17,0.00,N/A,5.82,17.31,218.56,0.34,8.41,0.03,0.66,0.04,0.80,0.05,1.00,0.00,0.01,0.50,0.93,0.0002,0.0006,     0,0,0,4.72,95.28,0.00,N/A,8.33,10.47,218.56,0.80,19.88,0.04,0.94,0.04,0.79,0.05,1.00,0.00,0.00,0.43,0.94,0.0002,0.0006,     0,0,0,4.60,95.40,0.00,N/A,7.86,10.00,218.56,0.79,19.65,0.04,0.90,0.04,0.74,0.06,1.00,0.00,0.00,0.52,0.95,0.0001,0.0005,     0,0,0,5.83,94.17,0.00,N/A,9.15,12.44,218.56,0.74,18.39,0.04,1.07,0.04,0.97,0.05,1.00,0.00,0.01,0.55,0.93,0.0002,0.0006,     0,0,0,4.62,95.38,0.00,N/A,9.73,10.03,218.56,0.97,24.26,0.04,1.12,0.07,0.92,0.08,1.00,0.00,0.01,0.67,0.93,0.0001,0.0007,     0,0,0,7.69,92.31,0.00,N/A,15.39,16.81,218.56,0.92,22.88,0.07,1.76,0.05,0.80,0.06,1.00,0.00,0.01,0.61,0.93,0.0001,0.0008,     0,0,0,5.85,94.15,0.00,N/A,10.24,12.78,218.56,0.80,20.04,0.05,1.17,0.04,0.77,0.05,1.00,0.00,0.00,0.65,0.95,0.0001,0.0006,     0,0,0,4.67,95.33,0.00,N/A,7.83,10.19,218.56,0.77,19.20,0.04,0.90,
2024-03-29,13:49:06.402,0.03,0.59,0.05,1.00,0.03,0.08,0.40,0.91,0.0004,0.0009,0.02,0.01,-2147483648,0.00,0.00,90.13,152.83,209.98,0.59,14.74,0.03,0.67,21.97,0.63,76.17,4.54,95.46,0.00,100.00,0.00,0.00,0.00,0.00,-nan,0.24,0.02,0.53,0.04,1.00,0.02,0.04,0.40,0.90,0.0005,0.0011,     0,0,0,0.01,0.00,-2147483648,0.00,0.00,N/A,35.88,67.65,209.98,0.53,13.26,0.02,0.53,0.03,0.64,0.05,1.00,0.02,0.05,0.40,0.91,0.0003,0.0008,     0,0,0,0.01,0.01,-2147483648,0.00,0.00,N/A,54.25,85.18,209.98,0.64,15.92,0.03,0.81,1.99,1.96,  0%,  0%,9.10,8.92,  3%,  3%,27.88,27.89, 10%, 10%,10.15,10.26,  3%,  3%,4.01,95.99,0.00,100.00,0.00,0.00,5.06,94.94,0.00,100.00,0.00,0.00,0.00,0.00,0.00 ,0.00 ,-nan ,-nan ,0.24,0.25,0.02,0.27,0.06,1.00,0.00,0.01,0.38,0.86,0.0013,0.0023,     0,0,0,6.30,93.70,0.00,N/A,3.61,13.22,209.98,0.27,6.82,0.02,0.43,0.01,0.39,0.03,1.00,0.00,0.00,0.49,0.80,0.0003,0.0010,     0,0,0,3.30,96.70,0.00,N/A,2.69,6.96,209.98,0.39,9.65,0.01,0.32,0.03,0.71,0.04,1.00,0.00,0.01,0.48,0.90,0.0005,0.0012,     0,0,0,4.46,95.54,0.00,N/A,6.61,9.26,209.98,0.71,17.85,0.03,0.80,0.02,0.46,0.03,1.00,0.00,0.00,0.31,0.89,0.0004,0.0010,     0,0,0,3.45,96.55,0.00,N/A,3.37,7.29,209.98,0.46,11.57,0.02,0.40,0.05,0.70,0.07,1.00,0.00,0.01,0.17,0.95,0.0004,0.0006,     0,0,0,7.48,92.52,0.00,N/A,11.03,15.79,209.98,0.70,17.46,0.05,1.31,0.01,0.50,0.02,1.00,0.00,0.00,0.69,0.78,0.0003,0.0017,     0,0,0,1.63,98.37,0.00,N/A,1.72,3.44,209.98,0.50,12.49,0.01,0.20,0.02,0.66,0.03,1.00,0.00,0.00,0.42,0.90,0.0004,0.0010,     0,0,0,2.99,97.01,0.00,N/A,4.17,6.32,209.98,0.66,16.49,0.02,0.49,0.01,0.50,0.03,1.00,0.00,0.00,0.42,0.78,0.0004,0.0011,     0,0,0,2.54,97.46,0.00,N/A,2.68,5.36,209.98,0.50,12.51,0.01,0.32,0.02,0.26,0.07,1.00,0.00,0.01,0.43,0.82,0.0011,0.0026,     0,0,0,7.47,92.53,0.00,N/A,4.02,15.53,209.98,0.26,6.47,0.02,0.48,0.02,0.75,0.02,1.00,0.00,0.01,0.50,0.79,0.0005,0.0015,     0,0,0,2.24,97.76,0.00,N/A,3.51,4.65,209.98,0.75,18.87,0.02,0.42,0.03,0.66,0.05,1.00,0.00,0.00,0.56,0.94,0.0001,0.0007,     0,0,0,4.76,95.24,0.00,N/A,6.61,10.05,209.98,0.66,16.44,0.03,0.78,0.01,0.45,0.02,1.00,0.00,0.00,0.34,0.78,0.0004,0.0015,     0,0,0,2.15,97.85,0.00,N/A,2.06,4.54,209.98,0.45,11.33,0.01,0.24,0.06,0.61,0.10,1.00,0.00,0.01,0.25,0.95,0.0003,0.0006,     0,0,0,9.70,90.30,0.00,N/A,12.49,20.50,209.98,0.61,15.24,0.06,1.48,0.04,0.87,0.05,1.00,0.00,0.00,0.41,0.95,0.0002,0.0004,     0,0,0,5.12,94.88,0.00,N/A,9.37,10.80,209.98,0.87,21.68,0.04,1.11,0.05,0.76,0.07,1.00,0.00,0.01,0.44,0.95,0.0001,0.0005,     0,0,0,6.87,93.13,0.00,N/A,11.09,14.52,209.98,0.76,19.10,0.05,1.31,0.02,1.11,0.02,1.00,0.00,0.01,0.39,0.84,0.0004,0.0011,     0,0,0,2.18,97.82,0.00,N/A,5.10,4.60,209.98,1.11,27.73,0.02,0.60,
2024-03-29,13:49:06.501,0.03,0.59,0.05,1.00,0.04,0.12,0.43,0.88,0.0004,0.0013,0.02,0.01,-2147483648,0.00,0.00,91.35,155.25,209.94,0.59,14.71,0.03,0.68,10.87,0.46,23.70,4.63,95.37,0.00,100.00,0.00,0.00,0.00,0.00,-nan,0.26,0.03,0.55,0.05,1.00,0.02,0.06,0.41,0.88,0.0004,0.0013,     0,0,0,0.00,0.00,-2147483648,0.00,0.00,N/A,43.58,79.32,209.94,0.55,13.74,0.03,0.65,0.03,0.63,0.05,1.00,0.02,0.06,0.45,0.87,0.0004,0.0013,     0,0,0,0.01,0.00,-2147483648,0.00,0.00,N/A,47.76,75.94,209.94,0.63,15.73,0.03,0.71,2.37,2.12,  0%,  0%,3.20,3.17,  1%,  1%,7.31,6.59,  2%,  2%,4.80,5.00,  1%,  1%,4.72,95.28,0.00,100.00,0.00,0.00,4.54,95.46,0.00,100.00,0.00,0.00,0.00,0.00,0.00 ,0.00 ,-nan ,-nan ,0.26,0.26,0.02,0.26,0.07,1.00,0.00,0.01,0.43,0.83,0.0013,0.0028,     0,0,0,6.70,93.30,0.00,N/A,3.66,14.07,209.94,0.26,6.50,0.02,0.44,0.01,0.44,0.03,1.00,0.00,0.01,0.45,0.79,0.0005,0.0022,     0,0,0,2.58,97.42,0.00,N/A,2.40,5.41,209.94,0.44,11.07,0.01,0.29,0.01,0.46,0.03,1.00,0.00,0.00,0.54,0.83,0.0004,0.0018,     0,0,0,2.79,97.21,0.00,N/A,2.68,5.86,209.94,0.46,11.42,0.01,0.32,0.03,0.58,0.04,1.00,0.00,0.01,0.46,0.88,0.0004,0.0013,     0,0,0,4.40,95.60,0.00,N/A,5.36,9.24,209.94,0.58,14.51,0.03,0.64,0.04,0.62,0.06,1.00,0.00,0.01,0.42,0.91,0.0003,0.0009,     0,0,0,6.47,93.53,0.00,N/A,8.43,13.60,209.94,0.62,15.49,0.04,1.00,0.05,0.72,0.06,1.00,0.00,0.01,0.28,0.93,0.0003,0.0009,     0,0,0,6.32,93.68,0.00,N/A,9.61,13.30,209.94,0.72,18.06,0.05,1.14,0.03,0.59,0.05,1.00,0.00,0.01,0.40,0.91,0.0003,0.0010,     0,0,0,4.81,95.19,0.00,N/A,5.94,10.06,209.94,0.59,14.77,0.03,0.71,0.03,0.71,0.04,1.00,0.00,0.01,0.39,0.85,0.0005,0.0015,     0,0,0,3.71,96.29,0.00,N/A,5.51,7.78,209.94,0.71,17.71,0.03,0.66,0.02,0.29,0.07,0.98,0.00,0.01,0.50,0.82,0.0010,0.0030,     0,0,0,7.22,92.78,0.00,N/A,4.29,14.89,209.94,0.29,7.21,0.02,0.51,0.05,1.16,0.04,1.00,0.00,0.01,0.55,0.90,0.0002,0.0007,     0,0,0,4.28,95.72,0.00,N/A,10.42,8.97,209.94,1.16,29.03,0.05,1.24,0.03,0.90,0.03,1.00,0.00,0.00,0.51,0.88,0.0003,0.0009,     0,0,0,2.83,97.17,0.00,N/A,5.34,5.94,209.94,0.90,22.46,0.03,0.64,0.03,0.60,0.05,1.00,0.00,0.01,0.31,0.87,0.0005,0.0013,     0,0,0,5.14,94.86,0.00,N/A,6.45,10.80,209.94,0.60,14.93,0.03,0.77,0.03,0.70,0.04,1.00,0.00,0.01,0.37,0.87,0.0004,0.0014,     0,0,0,4.20,95.80,0.00,N/A,6.18,8.83,209.94,0.70,17.50,0.03,0.74,0.03,0.60,0.04,1.00,0.00,0.01,0.32,0.90,0.0004,0.0012,     0,0,0,4.28,95.72,0.00,N/A,5.38,8.98,209.94,0.60,14.97,0.03,0.64,0.03,0.51,0.06,1.00,0.00,0.01,0.45,0.90,0.0003,0.0011,     0,0,0,5.99,94.01,0.00,N/A,6.45,12.55,209.94,0.51,12.85,0.03,0.77,0.02,0.65,0.02,1.00,0.00,0.01,0.50,0.80,0.0006,0.0018,     0,0,0,2.37,97.63,0.00,N/A,3.26,4.98,209.94,0.65,16.36,0.02,0.39,
